code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
002968,新大正,1.14,,,26.79,0.35,6119.24,,,12-02
300808,久量股份,0.54,,,12.52,0.24,6536.01,,,11-28
300801,泰和科技,1.52,,,22.66,1.5,13702.45,,,11-27
300798,锦鸡股份,0.23,,,9.73,0.08,8489.86,,,11-21
688196,卓越新能,1.13,222.86,,17.4,1.1,10138.37,217.58,,11-20
688138,清溢光电,0.22,,,9.04,0.34,4429.47,,,11-19
300810,中科海讯,0.48,,,7.1,,2835.56,,,11-19
688198,佰仁医疗,0.6,,,23.96,,3684.07,,,11-19
688399,硕世生物,0.89,,,,,3933.78,,,11-15
300803,指南针,0.29,,,17.01,0.3,10068.36,,,11-15
688111,金山办公,0.58,,,18.26,0.53,20966.96,,,11-15
688357,建龙微纳,1.03,,,,,3661.79,,,11-14
688101,三达膜,0.56,,,10.63,0.23,13918.02,,,11-14
688258,卓易信息,,,,,,2461.06,,,11-14
688118,普元信息,-0.16,,,,,-1100.5,,,11-14
688300,联瑞新材,0.69,,,20.62,0.28,4252.3,,,11-14
300796,贝斯美,0.54,,,9.13,0.62,4946.08,,,11-14
300802,矩子科技,0.96,,,20.73,0.82,7185.17,,,11-13
688358,祥生医疗,0.92,,,32.76,,5522.71,,,11-13
300809,华辰装备,0.79,,,,,9315.8,,,11-13
688310,迈得医疗,0.17,,,,,1095.87,,,11-12
002969,嘉美包装,,,,,,5553.96,,,11-11
603489,八方股份,1.79,,,47.7,0.72,16151.38,,,11-08
300564,筑博设计,1.08,,,19.44,0.35,8103.61,,,11-07
688166,博瑞医药,0.11,,,8.86,0.09,4136.99,,,11-07
688021,奥福环保,0.6,,,11.44,-0.45,3410.98,,,11-05
688288,鸿泉物联,0.55,,,19.84,0.45,4116.95,,,11-05
300800,力合科技,2.52,,,32.59,-1.79,15146.03,,,11-05
688363,华熙生物,,,,23.63,,31878.78,,,11-05
688299,长阳科技,0.24,,,9.35,0.12,5113.53,,,11-05
688128,中国电研,0.34,,,,,12131.15,,,11-04
300806,斯迪克,0.36,,,5.07,,3160.76,,,11-04
300805,电声股份,0.35,,,14.98,,13490.68,,,11-04
688202,美迪西,0.93,,,14.07,0.61,4342.7,,,11-04
688389,普门科技,0.12,,,6.12,0.07,4485.57,,,11-04
688023,安恒信息,-0.98,,,-13.44,-1.74,-5433.72,,,11-04
603815,交建股份,0.1,,,6.2,,4378.53,,,10-31
002949,华阳国际,0.57,,,,,8337.08,,,10-31
603786,科博达,0.9,,,21.12,,32493.3,,,10-31
688066,航天宏图,-0.56,,,-18.2,,-6959.93,,,10-31
603236,移远通信,1.65,,,21.04,,11030.0,,,10-31
688011,新光光电,0.41,,,7.2,,3094.35,,,10-31
688058,宝兰德,0.43,,,12.82,-0.38,1732.56,,,10-31
688099,晶晨股份,0.49,,,19.89,,18223.11,,,10-31
688010,福光股份,0.5,,,8.11,,5757.13,,,10-31
