code,name,bamount,bcount,samount,scount,net
300146,汤臣倍健,12439.35,4,7989.37,4,4449.98
002366,台海核电,6036.33,1,2873.27,2,3163.06
300643,万通智控,2559.2,1,0.0,0,2559.2
000603,盛达矿业,1884.48,2,0.0,0,1884.48
000966,长源电力,1775.23,4,0.0,0,1775.23
600165,新日恒力,667.95,1,0.0,0,667.95
300531,优博讯,1652.31,2,1130.71,3,521.61
000892,欢瑞世纪,460.79,2,0.0,0,460.79
300662,科锐国际,2177.2,5,1814.07,3,363.13
002346,柘中股份,220.75,1,0.0,0,220.75
300753,爱朋医疗,0.0,0,5.28,2,-5.28
002331,皖通科技,232.87,0,425.52,1,-192.66
000498,山东路桥,3907.23,2,4136.34,3,-229.11
002882,金龙羽,0.0,0,229.51,1,-229.51
300752,隆利科技,0.0,0,438.67,1,-438.67
002902,铭普光磁,0.0,0,446.72,1,-446.72
000536,华映科技,0.0,0,553.85,1,-553.85
600267,海正药业,683.05,1,1611.44,2,-928.39
603399,吉翔股份,0.0,0,956.8,1,-956.8
600745,闻泰科技,6641.36,3,7715.86,4,-1074.5
002252,上海莱士,3532.4,10,4610.95,8,-1078.55
002942,新农股份,0.0,0,1159.68,5,-1159.68
002243,通产丽星,0.0,0,1356.31,5,-1356.31
603486,科沃斯,0.0,0,1495.01,3,-1495.01
002727,一心堂,3284.08,3,5196.84,4,-1912.76
002768,国恩股份,3658.91,3,5810.58,3,-2151.67
603826,坤彩科技,0.0,0,2845.29,2,-2845.29
300319,麦捷科技,0.0,0,3045.94,2,-3045.94
600466,蓝光发展,1525.1,1,4767.98,3,-3242.88
002007,华兰生物,13079.45,3,16348.98,3,-3269.53
002376,新北洋,1864.44,2,5920.91,4,-4056.47
300362,天翔环境,0.0,0,4193.25,5,-4193.25
002508,老板电器,0.0,0,6233.39,1,-6233.39
